char,count,percentage
E,4493.4,7.752333860691247
S,3617.8,6.241686349136243
O,3444.1,5.942006732008441
A,3425.0,5.909054051023173
I,3401.8,5.869027757889234
N,3359.2,5.795531202393296
U,3299.8,5.693050089800368
R,3294.2,5.683388570768039
T,3285.3,5.668033656591658
L,3127.9,5.396475960932958
M,2503.1,4.318526480325869
D,2443.5,4.215700313481787
C,2367.7,4.084924752294179
Ã,2366.3,4.082509372536097
P,2152.7,3.713991432302944
V,1996.3,3.444159007900017
Q,1451.8,2.5047488091315158
J,1361.0,2.34809417910731
G,1329.3,2.2934030802993
H,1307.3,2.25544711267229
F,1229.1,2.1205309004708264
B,1149.3,1.982854254260126
Z,628.0,1.0834703486255628
X,422.0,0.7280644699362858
Y,313.0,0.5400099030570081
§,55.0,0.09488991906752539
1,25.0,0.04313178139432972
K,20.0,0.03450542511546378
2,19.0,0.03278015385969059
W,18.0,0.0310548826039174
Â,14.0,0.024153797580824646
3,7.0,0.012076898790412323
5,6.0,0.010351627534639134
4,6.0,0.010351627534639134
8,4.0,0.0069010850230927555
6,4.0,0.0069010850230927555
0,4.0,0.0069010850230927555
7,4.0,0.0069010850230927555
9,4.0,0.0069010850230927555
Š,3.0,0.005175813767319567
