char,count
Š,3
6,4
7,4
8,4
9,4
0,4
4,6
5,6
3,7
¯,8
«,8
Â,14
W,18
2,19
K,20
1,25
ˆ,28
¹,41
[,41
],42
§,47
´,50
»,57
®,73
¢,80
(,93
),97
:,101
¨,107
ª,108
‰,110
Y,113
X,119
_,121
Z,130
 ,132
;,134
!,136
?,136
B,170
F,172
H,187
Q,188
©,189
J,191
',192
G,193
,,194
.,205
V,211
-,213
P,218
C,224
Ã,225
D,232
M,233
L,251
R,251
U,257
N,261
A,261
S,262
O,263
T,264
I,267
E,296
