char,count,percentage
E,941.7,5.998012764168609
S,815.1,5.191653609508159
O,800.5,5.098661163552057
A,799.0,5.0891071451319085
I,797.2,5.077642323027732
N,789.1,5.026050623558936
R,785.0,4.999936306543866
T,782.5,4.984012942510287
U,781.9,4.980191335142227
L,753.5,4.799301919720768
M,670.6,4.271283168367282
D,667.1,4.248990458720272
C,655.7,4.17637991872715
Ã,652.9,4.158545751009541
P,613.4,3.90695659927899
V,581.7,3.705048343333206
Q,505.2,3.2177934039056826
J,478.5,3.047731876027057
H,474.4,3.021617559011987
G,472.6,3.01015273690781
F,449.2,2.861110049553509
B,432.5,2.7547419778092
Z,317.6,2.0229041668259002
X,268.7,1.7114431663290914
Y,221.6,1.4114469879364595
§,55.0,0.3503140087387422
1,25.0,0.1592336403357919
K,20.0,0.12738691226863352
2,19.0,0.12101756665520184
W,18.0,0.11464822104177017
Â,14.0,0.08917083858804346
3,7.0,0.04458541929402173
5,6.0,0.03821607368059006
4,6.0,0.03821607368059006
8,4.0,0.025477382453726705
6,4.0,0.025477382453726705
0,4.0,0.025477382453726705
7,4.0,0.025477382453726705
9,4.0,0.025477382453726705
Š,3.0,0.01910803684029503
