char,count,percentage
E,8528.3,9.221458600048441
O,7459.0,8.065248607314626
T,7169.9,7.752651292342826
A,6480.7,7.007434863845543
I,6269.0,6.778528424621985
S,5863.4,6.3399622850420405
H,5701.1,6.164470952562195
N,5636.4,6.094512300612435
R,5136.7,5.554197951627971
L,4702.9,5.085139787550603
D,4414.8,4.773623750043251
U,3581.0,3.8720546001868446
M,3565.0,3.854754160755683
Y,2724.0,2.9453998131552543
W,2551.0,2.75833881180582
C,2415.0,2.6112850766409466
F,2273.0,2.457743676689388
G,2208.0,2.387460641500294
B,1658.0,1.7927580360541158
P,1544.0,1.6694924051070896
V,1296.0,1.4013355939240857
K,979.0,1.0585706376941975
X,136.0,0.1470537351648732
J,87.0,0.09407113940694094
Q,72.0,0.07785197744022698
Z,28.0,0.030275769004532715
6,1.0,0.001081277464447597
0,1.0,0.001081277464447597
5,1.0,0.001081277464447597
1,1.0,0.001081277464447597
