char,count,percentage
E,16506.3,11.916331632715679
N,11463.9,8.276090595971795
I,10698.1,7.7232394564472715
S,9030.2,6.519138626448635
R,8923.4,6.442036900539495
H,8888.3,6.416697288372728
T,8341.4,6.021875809911037
A,8234.7,5.944846276629153
D,7023.0,5.070088212171244
L,6104.0,4.406637967690911
U,5616.0,4.054337946682858
C,5471.0,3.9496586371620213
O,5314.0,3.8363162123704955
G,4819.0,3.4789627074545386
M,4641.0,3.3504598309393057
B,3042.0,2.196099721119881
W,2954.0,2.1325702091348218
Ã,2601.0,1.8777302349220284
F,2054.0,1.482836563833082
Z,1522.0,1.098771786832498
K,1387.0,1.0013117400372369
V,1177.0,0.8497072228001643
Ÿ,678.0,0.4894660127939774
J,543.0,0.3920059659987164
P,527.0,0.3804551456377966
Y,513.0,0.37034817782199175
¶,396.0,0.28588280393276555
Q,22.0,0.01588237799626475
X,12.0,0.008663115270689865
1,9.0,0.006497336453017399
3,3.0,0.0021657788176724663
2,2.0,0.0014438525451149775
Œ,2.0,0.0014438525451149775
