char,count,percentage
E,1630.2,6.442332391471872
S,1392.5,5.502973779367306
O,1353.7,5.349641368136102
A,1344.7,5.314074571716493
I,1341.0,5.299452666521765
N,1324.4,5.23385168645893
R,1317.9,5.208164555711435
U,1312.5,5.18682447785967
T,1310.7,5.179711118575748
L,1264.0,4.995158963820664
M,1090.4,4.309114979549092
D,1079.6,4.266434823845561
C,1054.8,4.168428540378193
Ã,1052.6,4.159734434586734
P,989.4,3.9099764863957005
V,913.0,3.6080539034559074
Q,774.8,3.0619059851014643
J,741.6,2.930704024975795
G,725.1,2.8654982315398447
H,723.5,2.859175245509692
F,673.7,2.662372305321188
B,632.5,2.499555415044755
Z,442.7,1.749491197217886
X,341.3,1.3487719575569563
Y,284.9,1.1258866999940722
§,55.0,0.2173526447865004
1,25.0,0.09879665672113656
K,20.0,0.07903732537690925
2,19.0,0.07508545910806377
W,18.0,0.07113359283921833
Â,14.0,0.055326127763836476
3,7.0,0.027663063881918238
5,6.0,0.023711197613072773
4,6.0,0.023711197613072773
8,4.0,0.01580746507538185
6,4.0,0.01580746507538185
0,4.0,0.01580746507538185
7,4.0,0.01580746507538185
9,4.0,0.01580746507538185
Š,3.0,0.011855598806536386
