char,count,percentage
E,167.4,5.1144175246708015
S,149.9,4.579756194433412
O,148.5,4.5369832880144205
I,147.9,4.5186520424062815
N,147.7,4.512541627203569
A,147.7,4.512541627203569
T,145.6,4.448382267575082
R,145.5,4.4453270599737245
U,144.8,4.42394060676423
L,142.5,4.35367083193303
D,130.6,3.990101127371605
Ã,130.1,3.9748250893648223
M,128.8,3.935107390547188
C,127.8,3.9045553145336225
P,122.7,3.7487397268644402
V,119.2,3.641807460816963
Q,110.3,3.3698939842962328
J,107.6,3.287403379059607
G,106.1,3.241575265039259
H,105.5,3.22324401943112
F,102.1,3.119366960984999
B,99.8,3.049097186153799
Z,84.4,2.5785952155448966
X,76.9,2.3494546454431577
Y,70.2,2.1447557361522716
§,34.1,1.0418257920625706
1,21.2,0.6477040114875806
K,18.2,0.5560477834468852
2,17.2,0.5254957074333201
W,16.8,0.5132748770278941
Â,14.0,0.4277290641899117
3,7.0,0.21386453209495584
5,6.0,0.1833124560813907
4,6.0,0.1833124560813907
8,4.0,0.1222083040542605
6,4.0,0.1222083040542605
0,4.0,0.1222083040542605
7,4.0,0.1222083040542605
9,4.0,0.1222083040542605
Š,3.0,0.09165622804069536
