char,count,percentage
E,305.0,5.230304901052921
N,281.3,4.82388448743012
I,273.5,4.690125870288439
S,262.4,4.49977706897143
R,262.1,4.494632506773674
H,261.9,4.491202798641836
T,258.0,4.424323490070995
A,255.1,4.374592722159345
D,247.4,4.2425489590835825
L,242.1,4.151661693589875
U,238.7,4.09335665534863
C,236.4,4.053915011832493
O,233.2,3.9990396817230858
G,228.7,3.921871248756731
M,227.9,3.908152416229379
W,208.0,3.5668964571115
B,207.5,3.558322186781905
Ã,202.3,3.4691497753541176
F,190.2,3.261652433377919
K,173.8,2.980416366567205
Z,173.8,2.980416366567205
V,164.3,2.817505230304901
Ÿ,142.1,2.4368076276708854
J,130.3,2.234454847892444
P,129.4,2.2190211612991737
Y,129.0,2.2121617450354973
¶,117.0,2.0063792571252184
Q,22.0,0.37726789450217785
X,12.0,0.2057824879102788
1,9.0,0.15433686593270912
3,3.0,0.0514456219775697
2,2.0,0.03429708131837981
Œ,2.0,0.03429708131837981
