char,count,percentage
E,11410.7,10.091079449331474
N,8790.6,7.773987836617671
I,8434.4,7.458981526763598
S,6979.7,6.172514151848605
R,6868.0,6.073731993480554
H,6839.2,6.048262645575452
T,6302.3,5.573453864664021
A,6196.3,5.479712514735521
D,5547.4,4.905856269748694
L,5096.4,4.50701335637366
U,4853.4,4.292115733424363
C,4782.7,4.229592021726769
O,4707.0,4.162646548240095
G,4460.0,3.944211515859533
M,4365.0,3.8601980418670094
B,3042.0,2.69019987247639
W,2954.0,2.612376864988579
Ã,2601.0,2.300200482679517
F,2054.0,1.8164597429541438
Z,1522.0,1.3459842885960112
K,1387.0,1.2265967202908459
V,1177.0,1.0408827251494777
Ÿ,678.0,0.5995908985992743
J,543.0,0.48020333029410905
P,527.0,0.4660536925690524
Y,513.0,0.4536727595596279
¶,396.0,0.3502035336951514
Q,22.0,0.019455751871952854
X,12.0,0.010612228293792466
1,9.0,0.00795917122034435
3,3.0,0.0026530570734481164
2,2.0,0.0017687047156320775
Œ,2.0,0.0017687047156320775
