char,count,percentage
E,10912.4,9.915856428895957
O,9523.3,8.653611994547934
T,9204.0,8.36347114947751
A,8555.4,7.774102680599728
I,8319.9,7.560109041344844
S,7658.0,6.958655156746933
H,7337.0,6.666969559291232
N,7201.0,6.543389368468879
R,6176.0,5.611994547932757
L,5318.0,4.832348932303498
D,4724.0,4.292594275329396
U,3581.0,3.2539754656974105
M,3565.0,3.2394366197183095
Y,2724.0,2.4752385279418445
W,2551.0,2.3180372557928215
C,2415.0,2.194457064970468
F,2273.0,2.065424806905952
G,2208.0,2.006360745115856
B,1658.0,1.5065879145842798
P,1544.0,1.4029986369831893
V,1296.0,1.1776465243071332
K,979.0,0.8895956383462063
X,136.0,0.12358019082235347
J,87.0,0.07905497501135847
Q,72.0,0.06542480690595184
Z,28.0,0.025442980463425715
6,1.0,0.0009086778736937755
0,1.0,0.0009086778736937755
5,1.0,0.0009086778736937755
1,1.0,0.0009086778736937755
