char,count,percentage
E,860.9,5.995501110793852
O,812.6,5.659129054049348
T,797.4,5.553272837434101
A,784.0,5.459952225418028
I,771.1,5.370113725790613
S,748.2,5.21063297839001
H,744.6,5.185561769191662
N,740.2,5.15491918017146
R,706.4,4.91952838269808
L,685.2,4.771886817418919
D,666.3,4.640262969127591
M,612.2,4.263498408674638
U,610.0,4.2481771141645375
Y,558.8,3.8916088055658085
W,549.3,3.8254486701812787
C,546.4,3.805252418327054
F,535.4,3.7286459457765457
G,529.2,3.6854677521571686
B,476.3,3.317060261436998
P,468.6,3.2634357306516426
V,437.7,3.048241185032488
K,395.1,2.751565209518702
X,132.2,0.9206705155615603
J,87.0,0.6058875556267453
Q,72.0,0.5014241839669616
Z,28.0,0.19499829376492955
6,1.0,0.006964224777318913
0,1.0,0.006964224777318913
5,1.0,0.006964224777318913
1,1.0,0.006964224777318913
