char,count,percentage
E,2433.2,6.8013025673994765
O,2256.2,6.306550572319044
T,2208.5,6.173219102458386
A,2126.3,5.943452921692219
I,2095.5,5.857360484130201
S,2053.1,5.738843622031838
H,2001.7,5.59516987882769
N,1969.1,5.5040460650445135
R,1853.1,5.1798018196810665
L,1756.8,4.9106231918491705
D,1674.6,4.680857011083004
U,1527.3,4.269122723651661
M,1527.0,4.268284160948134
Y,1317.5,3.6826878729857024
W,1276.5,3.5680843035037944
C,1236.8,3.4571145057371666
F,1212.1,3.3880728431468463
G,1194.2,3.3380386018364523
B,1049.8,2.934410420539196
P,1020.5,2.852510796494808
V,911.3,2.547273972411287
K,747.4,2.0891392153848303
X,136.0,0.38014842559852413
J,87.0,0.24318318402258532
Q,72.0,0.20125504884627746
Z,28.0,0.0782658523291079
6,1.0,0.002795209011753854
0,1.0,0.002795209011753854
5,1.0,0.002795209011753854
1,1.0,0.002795209011753854
