char,count,percentage
E,7499.9,8.66803970246268
N,6209.3,7.1764235422474325
I,5867.1,6.780924510769316
S,5032.5,5.816332191448344
R,4980.3,5.7560018307143945
H,4964.6,5.737856492332727
T,4674.0,5.4019943691663315
A,4623.8,5.34397551650648
D,4318.2,4.99077708278435
L,4073.9,4.7084263715333154
U,3837.0,4.434628240156443
C,3767.6,4.354418909985252
O,3686.7,4.260918408388001
G,3430.3,3.9645830732886753
M,3335.9,3.855479892191263
B,2553.9,2.9516802352190616
W,2497.1,2.886033405914687
Ã,2327.3,2.689786370423792
F,2051.2,2.370682680794604
Z,1522.0,1.7590576443883517
K,1387.0,1.6030308493867569
V,1177.0,1.3603225016064981
Ÿ,678.0,0.7836012371191213
J,543.0,0.6275744421175263
P,527.0,0.6090823775247447
Y,513.0,0.5929018210060608
¶,396.0,0.45767859867134514
Q,22.0,0.025426588815074733
X,12.0,0.013869048444586215
1,9.0,0.010401786333439663
3,3.0,0.003467262111146554
2,2.0,0.002311508074097703
Œ,2.0,0.002311508074097703
