char,count,percentage
E,27.1,4.471209371390859
S,25.1,4.1412308199967
R,24.5,4.042237254578453
N,24.4,4.025738327008745
A,24.4,4.025738327008745
U,24.2,3.9927404718693285
I,23.9,3.9432436891602043
O,23.9,3.9432436891602043
T,23.8,3.9267447615904962
L,23.2,3.827751196172249
Ã,22.8,3.761755485893417
D,22.3,3.6792608480448767
M,22.0,3.6297640653357535
C,21.5,3.547269427487213
V,21.2,3.4977726447780895
P,21.0,3.4647747896386734
Q,19.5,3.2172908760930543
J,19.3,3.184293020953638
G,19.0,3.1347962382445136
H,18.6,3.0688005279656823
F,18.4,3.035802672826266
B,17.8,2.9368091074080187
Z,15.9,2.6233294835835674
X,15.1,2.4913380630259034
Y,15.0,2.4748391354561954
§,9.2,1.517901336413133
1,7.1,1.171423857449266
W,6.7,1.105428147170434
K,6.6,1.0889292196007259
2,6.3,1.0394324368916021
Â,6.0,0.9899356541824781
3,4.2,0.6929549579277346
4,4.0,0.6599571027883188
5,3.9,0.6434581752186108
6,3.6,0.5939613925094869
8,3.1,0.511466754660947
0,3.1,0.511466754660947
9,3.0,0.49496782709123904
7,2.8,0.4619699719518231
Š,2.6,0.42897211681240716
