char,count,percentage
E,49.5,4.626168224299065
A,46.0,4.299065420560748
S,45.7,4.271028037383178
O,45.1,4.214953271028037
N,44.7,4.177570093457944
R,44.5,4.158878504672897
I,44.3,4.14018691588785
T,44.1,4.121495327102804
L,43.8,4.093457943925234
U,43.3,4.046728971962617
M,41.0,3.8317757009345796
D,40.0,3.7383177570093453
P,39.5,3.691588785046729
C,38.8,3.6261682242990654
Ã,38.6,3.607476635514019
V,38.0,3.551401869158879
H,34.5,3.2242990654205608
Q,34.4,3.214953271028037
J,33.7,3.1495327102803743
G,33.6,3.140186915887851
F,33.3,3.1121495327102804
B,32.7,3.05607476635514
Z,27.7,2.588785046728972
X,25.5,2.383177570093458
Y,24.6,2.2990654205607477
§,14.8,1.3831775700934579
1,11.4,1.0654205607476634
2,10.4,0.9719626168224299
K,10.2,0.9532710280373832
W,9.4,0.8785046728971962
Â,8.5,0.794392523364486
3,5.3,0.4953271028037384
4,5.1,0.4766355140186916
5,5.0,0.46728971962616817
8,4.0,0.3738317757009346
6,4.0,0.3738317757009346
0,4.0,0.3738317757009346
7,4.0,0.3738317757009346
9,4.0,0.3738317757009346
Š,3.0,0.2803738317757009
