char,count,percentage
E,2854.5,6.865327031999711
N,2490.4,5.989634065682985
I,2380.9,5.726276801712424
S,2188.1,5.262575609990741
H,2171.7,5.223132147624373
R,2170.0,5.2190434960376155
T,2096.2,5.041547915388963
A,2080.5,5.003788015440672
D,1972.2,4.743316858472528
L,1852.2,4.454706158230817
U,1792.7,4.311603352694301
C,1781.4,4.284425845088206
O,1746.6,4.20072874201811
G,1700.3,4.089373113508183
M,1678.8,4.037663696381543
B,1399.5,3.3659222915689595
W,1380.8,3.320947124114627
Ã,1279.4,3.0770710824103804
F,1149.3,2.7641689815649917
Z,1024.9,2.464975888981084
K,950.6,2.286277763748091
V,838.1,2.015705232271486
Ÿ,593.3,1.4269394037783951
J,528.0,1.2698870810635305
P,519.6,1.2496843320466104
Y,512.5,1.232608198948976
¶,396.0,0.9524153107976479
Q,22.0,0.052911961710980435
X,12.0,0.028861070024171147
1,9.0,0.02164580251812836
3,3.0,0.007215267506042787
2,2.0,0.004810178337361858
Œ,2.0,0.004810178337361858
