char,count
Š,3
6,4
7,4
8,4
9,4
0,4
4,5
5,5
¯,6
«,6
3,6
Â,9
K,11
2,12
W,12
1,12
ˆ,13
¹,13
[,13
],14
´,15
§,17
»,17
®,19
¢,23
¨,24
(,24
),24
‰,25
Y,25
;,25
ª,25
_,26
X,26
:,26
 ,28
!,28
?,28
Z,32
©,33
F,33
',33
J,33
G,34
B,34
Q,34
H,36
,,37
V,38
P,39
C,40
.,40
-,40
M,42
D,42
Ã,42
T,43
N,43
O,44
L,45
R,45
S,45
A,45
U,47
I,47
E,51
