char,count,percentage
E,4706.1,7.649757150566648
N,4012.8,6.522799237966437
I,3824.9,6.217368123329801
S,3407.7,5.539210267947126
R,3373.5,5.483618228987185
H,3371.7,5.480692332199819
T,3241.4,5.268889914758874
A,3218.4,5.2315034558092055
D,3025.6,4.918107399918075
L,2808.9,4.565861936683594
U,2680.8,4.357635615316094
C,2639.2,4.290014889563651
O,2600.6,4.227270658456817
G,2487.4,4.043264260495842
M,2439.9,3.9660530952737014
B,2032.2,3.3033374729354548
W,1997.4,3.2467701350463916
Ã,1814.2,2.94897886202121
F,1543.0,2.508143746058167
Z,1280.3,2.0811253649243495
K,1205.7,1.9598631980702084
V,1100.9,1.7895109851169384
Ÿ,678.0,1.1020877899076067
J,543.0,0.8826455308552071
P,527.0,0.8566375594119598
Y,513.0,0.8338805843991184
¶,396.0,0.6436972932203721
Q,22.0,0.035760960734465115
X,12.0,0.019505978582435517
1,9.0,0.014629483936826638
3,3.0,0.004876494645608879
2,2.0,0.003250996430405919
Œ,2.0,0.003250996430405919
