char,count,percentage
E,15111.6,11.603074066765512
S,9858.9,7.569916283969566
O,9205.4,7.068142222809182
A,9081.2,6.972778277291019
I,9016.8,6.92333030554086
N,8822.5,6.77414178207726
U,8592.6,6.59761866553438
R,8586.2,6.592704581385296
T,8545.7,6.561607642629373
L,7666.0,5.886151419824798
M,4892.0,3.756203071456158
D,4646.0,3.5673179619757382
C,4362.0,3.349255477860132
Ã,4359.0,3.346952000915248
P,3480.0,2.672033256064479
V,2965.0,2.276603047192868
Q,1875.0,1.4396730905519823
J,1690.0,1.29762534561752
G,1632.0,1.2530914580164454
H,1595.0,1.2246819090295529
F,1429.0,1.097222851412684
B,1270.0,0.9751385733338759
Z,628.0,0.4821945071288772
X,422.0,0.3240224235802328
Y,313.0,0.2403294279161442
§,55.0,0.04223041065619147
1,25.0,0.01919564120735976
K,20.0,0.01535651296588781
2,19.0,0.01458868731759342
W,18.0,0.013820861669299028
Â,14.0,0.010749559076121467
3,7.0,0.005374779538060734
5,6.0,0.004606953889766343
4,6.0,0.004606953889766343
8,4.0,0.0030713025931775623
6,4.0,0.0030713025931775623
0,4.0,0.0030713025931775623
7,4.0,0.0030713025931775623
9,4.0,0.0030713025931775623
Š,3.0,0.0023034769448831713
