char,count,percentage
E,5994.9,8.221844000422413
O,5284.4,7.247412373155883
T,5114.5,7.014399095924942
A,4787.6,6.566064544266351
I,4672.1,6.407659402888048
S,4471.1,6.131993312697235
H,4390.5,6.021452582003804
N,4366.6,5.9886743752597225
R,4110.3,5.6371658234392985
L,3690.2,5.0610099802096435
D,3390.0,4.649293759934609
U,2815.8,3.86179391422533
M,2813.6,3.858776673437172
Y,2389.8,3.27754637979107
W,2300.7,3.1553481278706648
C,2229.7,3.057973538798288
F,2162.5,2.9658105474509115
G,2126.0,2.915751779829197
B,1658.0,2.2739023758028263
P,1544.0,2.1175544440528125
V,1296.0,1.7774291188422573
K,979.0,1.342672150730378
X,136.0,0.1865203396315949
J,87.0,0.11931815844079968
Q,72.0,0.09874606215790319
Z,28.0,0.03840124639474012
6,1.0,0.001371473085526433
0,1.0,0.001371473085526433
5,1.0,0.001371473085526433
1,1.0,0.001371473085526433
