char,count,percentage
E,7110.7,8.765990810792818
S,5443.5,6.710685442860859
O,5105.9,6.294495968164464
A,5055.8,6.232733252873322
I,5031.0,6.2021600924098435
N,4933.3,6.081716633648475
R,4832.4,5.957328250956336
U,4803.5,5.921700656706555
T,4799.7,5.917016059538764
L,4476.6,5.518702021403678
M,3451.3,4.254723738209917
D,3345.1,4.1238015752574375
C,3205.7,3.9519508265232033
Ã,3204.5,3.9504714800491634
P,2762.8,3.4059486987298575
V,2508.1,3.0919574096150124
Q,1875.0,2.311478865686435
J,1690.0,2.083412950938707
G,1632.0,2.0119112046934733
H,1595.0,1.9662980217439274
F,1429.0,1.7616550928351553
B,1270.0,1.5656416850249453
Z,628.0,0.77419132141391
X,422.0,0.5202368433704937
Y,313.0,0.38586287197858893
§,55.0,0.06780338006013543
1,25.0,0.030819718209152473
K,20.0,0.024655774567321972
2,19.0,0.023422985838955877
W,18.0,0.02219019711058978
Â,14.0,0.017259042197125384
3,7.0,0.008629521098562692
5,6.0,0.007396732370196593
4,6.0,0.007396732370196593
8,4.0,0.004931154913464395
6,4.0,0.004931154913464395
0,4.0,0.004931154913464395
7,4.0,0.004931154913464395
9,4.0,0.004931154913464395
Š,3.0,0.0036983661850982963
