char,count,percentage
E,27.0,4.546219902340462
N,25.2,4.243138575517764
I,24.9,4.192625021047315
R,24.2,4.074760060616265
H,24.1,4.057922209126116
A,24.1,4.057922209126116
T,23.9,4.024246506145816
S,23.5,3.9568951001852164
D,23.2,3.906381545714767
O,23.1,3.8895436942246167
C,23.0,3.872705842734467
L,23.0,3.872705842734467
G,22.1,3.721165179323118
M,21.9,3.6874894763428188
U,21.9,3.6874894763428188
B,21.4,3.6033002188920693
Ã,20.5,3.4517595554807206
W,20.4,3.4349217039905704
F,19.7,3.317056743559522
K,19.2,3.2328674861087725
Z,18.7,3.148678228658023
V,17.5,2.9466240107762247
Ÿ,16.2,2.7277319414042767
P,16.0,2.694056238423977
Y,15.7,2.6435426839535276
J,15.6,2.6267048324633775
¶,14.1,2.3741370601111296
Q,7.0,1.17864960431049
X,5.3,0.8924061289779425
1,4.7,0.7913790200370432
3,2.8,0.471459841724196
2,2.0,0.3367570298029971
Œ,2.0,0.3367570298029971
