char,count
Š,3
6,4
7,4
8,4
9,4
0,4
4,6
5,6
3,7
¯,8
«,8
Â,14
W,18
2,19
K,20
1,25
ˆ,28
[,48
],48
§,55
¹,55
´,72
»,78
®,87
¢,101
),128
(,131
:,142
¨,159
ª,164
‰,172
Y,173
_,187
X,187
;,195
?,199
 ,209
Z,211
!,219
B,273
G,280
F,287
H,289
J,297
Q,305
',316
©,326
,,329
V,358
-,363
P,370
.,373
D,388
Ã,389
M,392
C,393
L,443
U,449
T,456
R,456
O,458
A,465
I,466
N,468
S,477
E,528
