char,count,percentage
E,91.4,4.860151015633309
S,82.7,4.397532702329044
A,82.4,4.381580346697862
I,82.0,4.36031053918962
N,81.9,4.35499308731256
O,81.6,4.339040731681378
R,81.3,4.323088376050197
U,80.2,4.264596405402531
T,79.4,4.2220567903860475
L,79.3,4.216739338508987
D,73.6,3.9136445815165373
M,73.3,3.897692225885356
C,72.6,3.860470062745932
Ã,71.4,3.7966606402212064
P,68.3,3.63181963203233
V,68.0,3.615867276401149
J,62.6,3.3287248750398812
Q,61.4,3.2649154525151545
H,60.4,3.2117409337445495
G,59.9,3.1851536743592472
F,59.7,3.174518770605126
B,58.2,3.094756992449218
Z,49.9,2.6534084866531957
X,44.7,2.376900989046049
Y,41.5,2.2067425289801124
§,23.2,1.2336488354780388
1,16.2,0.861427204083803
K,14.5,0.7710305221737743
2,12.8,0.6806338402637456
W,12.5,0.664681484632564
Â,11.7,0.62214186961608
3,7.0,0.37222163139423586
5,6.0,0.3190471126236308
4,6.0,0.3190471126236308
8,4.0,0.2126980750824205
6,4.0,0.2126980750824205
0,4.0,0.2126980750824205
7,4.0,0.2126980750824205
9,4.0,0.2126980750824205
Š,3.0,0.1595235563118154
