char,count,percentage
E,50.4,4.702808621815806
N,47.7,4.450872445647103
I,47.0,4.3855556592329945
H,44.4,4.142950452552021
R,44.3,4.13361948306429
T,44.0,4.105626574601101
A,43.7,4.077633666137912
S,43.6,4.068302696650182
D,42.4,3.9563310627974246
L,42.2,3.937669123821965
U,42.0,3.9190071848465053
O,41.2,3.844359428944667
C,41.1,3.8350284594569377
M,40.0,3.7323877950919098
G,39.5,3.6857329476532614
W,38.3,3.573761313800504
B,37.7,3.5177754968741253
Ã,37.0,3.452458710460017
F,35.7,3.3311561071195297
Z,33.6,3.1352057478772046
K,33.4,3.1165438089017448
V,32.2,3.0045721750489878
Ÿ,29.6,2.7619669683680135
J,27.7,2.584678548101148
P,27.7,2.584678548101148
Y,27.1,2.528692731174769
¶,26.3,2.454044975272931
Q,10.2,0.9517588877484371
X,7.9,0.7371465895306523
1,6.8,0.6345059251656248
3,3.0,0.27992908463189325
2,2.0,0.1866193897545955
Œ,2.0,0.1866193897545955
