char,count,percentage
E,91.9,4.823893758857803
N,87.0,4.566689412629258
I,85.9,4.5089496614350955
H,82.2,4.314734134691093
R,81.6,4.283239724948822
S,81.1,4.256994383496929
A,79.6,4.178258359141252
T,79.4,4.167760222560495
D,77.2,4.05228072017217
O,75.6,3.968295627526114
U,75.2,3.9472993543646
L,75.1,3.9420502860742217
C,74.6,3.9158049446223293
M,73.4,3.8528161251377884
G,72.6,3.8108235788147606
B,67.5,3.543121096005459
W,67.3,3.532622959424702
Ã,66.0,3.464385071649782
F,62.5,3.2806676814865363
Z,59.1,3.1021993596136688
K,58.2,3.0549577450002623
V,57.3,3.0077161303868563
Ÿ,49.7,2.6087869403180934
J,47.4,2.488058369639389
P,47.2,2.477560233058632
Y,45.9,2.4093223452837123
¶,44.3,2.325337252637657
Q,14.7,0.7716130386856334
X,10.1,0.5301558973282242
1,8.5,0.4461708046821689
3,3.0,0.15747204871135373
2,2.0,0.10498136580756916
Œ,2.0,0.10498136580756916
