char,count,percentage
E,1673.7,6.274437767339334
N,1497.6,5.614266595188735
I,1441.1,5.402456991403904
S,1346.3,5.047066718150771
R,1334.0,5.000955954848941
H,1331.6,4.991958732741266
T,1294.6,4.853251558581288
A,1291.9,4.8431296837101545
D,1228.4,4.605078182111273
L,1167.0,4.3748992498566075
C,1136.1,4.2590600152203
U,1129.1,4.232818117406251
O,1120.9,4.202077608538364
G,1088.2,4.0794904573213016
M,1076.4,4.035254115291904
B,922.9,3.459806784655238
W,914.7,3.4290662757873505
Ã,869.7,3.2603683612684584
F,799.7,2.9979493831279593
Z,708.0,2.6541805217639056
K,661.5,2.4798593434277167
V,617.0,2.3130358501812562
Ÿ,469.8,1.7612062275772353
J,400.5,1.5014114392181415
P,393.1,1.4736700043861457
Y,385.8,1.4463034538086366
¶,325.3,1.219498479844348
Q,22.0,0.08247453598701401
X,12.0,0.04498611053837128
1,9.0,0.03373958290377846
3,3.0,0.01124652763459282
2,2.0,0.007497685089728546
Œ,2.0,0.007497685089728546
