char,count,percentage
O,24.7,4.754571703561117
E,24.6,4.735322425409047
A,24.5,4.716073147256978
I,24.4,4.696823869104909
T,24.3,4.6775745909528395
S,23.3,4.485081809432146
H,23.2,4.465832531280077
N,23.1,4.446583253128008
R,22.4,4.311838306063523
L,22.4,4.311838306063523
D,21.8,4.196342637151107
M,21.2,4.080846968238691
U,21.1,4.061597690086622
C,20.8,4.003849855630414
W,20.4,3.926852743022137
G,20.1,3.8691049085659293
Y,19.7,3.7921077959576515
F,19.6,3.7728585178055822
P,18.8,3.618864292589028
B,18.5,3.5611164581328203
V,18.5,3.5611164581328203
K,17.8,3.4263715110683353
X,12.6,2.4254090471607315
J,10.3,1.9826756496631375
Q,9.8,1.8864292589027911
Z,7.6,1.4629451395572666
6,1.0,0.192492781520693
0,1.0,0.192492781520693
5,1.0,0.192492781520693
1,1.0,0.192492781520693
