char,count,percentage
E,959.8,5.817181230832636
N,870.1,5.273525097882347
I,840.9,5.0965489654169245
S,800.0,4.848661163436247
H,793.5,4.809265791483327
R,792.1,4.800780634447313
T,775.3,4.698958750015152
A,770.2,4.6680485350982455
D,733.8,4.447434452161897
L,705.3,4.274700898214481
U,692.4,4.196516236954071
O,681.9,4.13287755918397
C,681.7,4.131665393893112
G,665.2,4.031661757397239
M,662.6,4.01590360861607
B,589.2,3.571038946870795
W,577.8,3.501945525291829
Ã,551.9,3.34497012012558
F,517.2,3.1346594421615332
Z,463.4,2.8085869789204456
K,446.5,2.7061590118428547
V,424.2,2.5710025819120697
Ÿ,325.4,1.972192928227693
J,292.6,1.773397820526807
P,291.3,1.7655187461362232
Y,286.7,1.7376389444464648
¶,258.4,1.5661175557899074
Q,22.0,0.13333818199449676
X,12.0,0.0727299174515437
1,9.0,0.05454743808865777
3,3.0,0.018182479362885924
2,2.0,0.012121652908590614
Œ,2.0,0.012121652908590614
