char,count,percentage
E,10612.8,9.950765613001405
S,7789.2,7.303303888963378
O,7171.5,6.724136476108054
A,7033.7,6.594932542982811
I,6984.3,6.548614151862441
N,6795.9,6.371966684512687
U,6553.3,6.144500253626008
R,6539.3,6.131373584077725
T,6485.2,6.080648382466145
L,5886.6,5.519389497351694
M,4485.2,4.205409875568549
D,4368.8,4.096270994467109
Ã,4231.2,3.967254585192554
C,4224.1,3.960597488493068
P,3480.0,3.262915002001817
V,2965.0,2.780041086475686
Q,1875.0,1.7580361002164961
J,1690.0,1.5845765383284687
G,1632.0,1.5301946216284383
H,1595.0,1.4955027092508328
F,1429.0,1.3398579131783324
B,1270.0,1.1907764518799735
Z,628.0,0.5888248911658451
X,422.0,0.39567532495539276
Y,313.0,0.29347482632947375
§,55.0,0.051569058939683894
1,25.0,0.02344048133621995
K,20.0,0.01875238506897596
2,19.0,0.017814765815527163
W,18.0,0.016877146562078366
Â,14.0,0.013126669548283173
3,7.0,0.006563334774141586
5,6.0,0.005625715520692788
4,6.0,0.005625715520692788
8,4.0,0.003750477013795192
6,4.0,0.003750477013795192
0,4.0,0.003750477013795192
7,4.0,0.003750477013795192
9,4.0,0.003750477013795192
Š,3.0,0.002812857760346394
