char,count,percentage
E,1463.3,6.333946542581971
O,1371.7,5.937452656638892
T,1343.5,5.815387945027595
A,1319.5,5.7115030840818095
I,1292.1,5.592901201168705
S,1254.4,5.429715398766367
H,1239.7,5.366085921437074
N,1228.8,5.3189048804241965
R,1171.7,5.071745482090683
L,1116.4,4.832377448328104
D,1084.9,4.69602856833676
U,996.2,4.31208743642463
M,991.9,4.293474732171843
Y,886.2,3.8359484904231143
W,869.4,3.763229087761065
C,842.9,3.648522887133427
F,828.3,3.5853262633914076
G,821.1,3.554160805107672
B,733.7,3.175846769830105
P,710.4,3.0749918839952386
V,647.3,2.8018612704252788
K,562.1,2.4330700140677415
X,136.0,0.5886808786927822
J,87.0,0.37658262092847095
Q,72.0,0.31165458283735525
Z,28.0,0.12119900443674927
6,1.0,0.004328535872741045
0,1.0,0.004328535872741045
5,1.0,0.004328535872741045
1,1.0,0.004328535872741045
