char,count,percentage
E,280.1,5.4822672825491265
O,266.5,5.216080795427856
T,265.2,5.1906364988647935
A,259.2,5.07320128395835
I,257.0,5.030141705159321
H,250.3,4.899005715180459
S,248.8,4.869646911453848
N,248.7,4.8676896578720745
R,239.7,4.691536835512409
L,235.8,4.615203945823221
D,227.9,4.460580912863071
U,217.5,4.257026540358569
M,214.8,4.204180693650669
Y,202.3,3.9595239959289126
W,200.0,3.9145071635481097
C,199.2,3.8988491348939167
G,195.8,3.8323025131135986
F,192.8,3.7735849056603774
B,184.1,3.6033038440460343
P,178.3,3.4897831363031395
V,169.0,3.307758553198152
K,156.9,3.0709308698034916
X,74.3,1.4542394112581225
J,60.2,1.1782666562279809
Q,52.8,1.0334298911767008
Z,28.0,0.5480310028967353
6,1.0,0.019572535817740547
0,1.0,0.019572535817740547
5,1.0,0.019572535817740547
1,1.0,0.019572535817740547
