char,count,percentage
E,152.7,5.186644475391461
T,149.4,5.074555891443905
O,148.8,5.0541761489079855
A,144.0,4.891138208620631
S,141.8,4.816412485988927
I,141.5,4.8062226147209675
N,141.1,4.792636119697021
H,140.1,4.758669882137156
R,136.2,4.6262015556536795
L,134.3,4.561665704289935
D,130.5,4.432594001562447
U,123.6,4.198226962399374
M,122.5,4.160864101083523
Y,117.3,3.9842396657722228
W,116.1,3.9434801807003836
C,115.2,3.912910566896505
F,113.8,3.865357834312693
G,113.7,3.8619612105567067
B,106.0,3.600421181345742
P,103.8,3.5256954587140386
V,100.8,3.4237967460344416
K,93.7,3.1826364593593968
X,50.3,1.7085017492612344
J,42.9,1.4571515913182298
Q,38.2,1.2975102747868619
Z,21.8,0.7404639788050678
6,1.0,0.0339662375598655
0,1.0,0.0339662375598655
5,1.0,0.0339662375598655
1,1.0,0.0339662375598655
