char,count,percentage
E,169.4,5.032530227860135
N,157.6,4.68197617420754
I,153.8,4.569085885743145
R,147.0,4.367071685333175
S,146.4,4.34924690294406
H,146.0,4.33736371468465
T,145.6,4.32548052642524
A,142.7,4.239327411544518
D,140.5,4.173969876117763
L,137.3,4.0789043700424825
U,133.7,3.9719556757077923
C,132.7,3.9422477050592675
G,131.1,3.8947149520216273
O,131.1,3.8947149520216273
M,129.1,3.8352990107245772
B,119.0,3.535248507174475
Ã,116.8,3.4698909717477195
W,116.6,3.463949377618015
F,112.5,3.342146697959062
Z,105.7,3.1401324975490925
K,102.0,3.03021300614955
V,97.9,2.9084103264905976
Ÿ,86.1,2.5578562728380025
J,82.1,2.4390243902439024
P,81.8,2.430111999049345
Y,80.0,2.376637651882
¶,74.7,2.2191854074448174
Q,18.9,0.5614806452571225
X,12.0,0.35649564778230003
1,9.0,0.26737173583672497
3,3.0,0.08912391194557501
2,2.0,0.059415941297049996
Œ,2.0,0.059415941297049996
