char,count,percentage
E,3883.2,7.377894814840147
O,3529.1,6.705121701445293
T,3445.7,6.546665678691464
A,3302.8,6.275162493421416
I,3229.9,6.136655969935155
S,3133.3,5.953120576673525
H,3086.5,5.864202808509506
N,3065.7,5.82468380043661
R,2814.4,5.347225784632806
L,2608.2,4.955455618063986
D,2479.7,4.7113117460751734
U,2171.4,4.125556448533142
M,2163.6,4.110736820505805
Y,1881.3,3.5743802830548956
W,1786.4,3.3940748087223014
C,1710.6,3.250058423533569
F,1649.3,3.1335913468571936
G,1607.9,3.0549333211736385
B,1339.0,2.544036144692768
P,1280.6,2.433078929718864
V,1158.3,2.2007147620594725
K,979.0,1.860053312661852
X,136.0,0.2583935143227905
J,87.0,0.16529585107413802
Q,72.0,0.1367965664061832
Z,28.0,0.05319866471351569
6,1.0,0.0018999523111969889
0,1.0,0.0018999523111969889
5,1.0,0.0018999523111969889
1,1.0,0.0018999523111969889
