char,count,percentage
E,486.7,5.616460487444608
O,469.7,5.420282496307237
T,463.1,5.344119276218612
A,456.9,5.272572008862629
I,453.0,5.22756646971935
S,440.7,5.0856259231905465
H,437.4,5.047544313146234
N,430.0,4.96214918759232
R,419.5,4.840980428360413
L,404.1,4.663266248153619
D,395.0,4.5582533234859675
U,366.9,4.2339826440177255
M,365.2,4.214364844903988
Y,342.2,3.948947562776957
W,338.5,3.90625
C,332.7,3.8393186853766617
F,328.8,3.794313146233383
G,327.0,3.7735413589364843
B,303.8,3.5058161004431314
P,295.0,3.404265140324963
V,278.2,3.2103951255539145
K,254.6,2.9380539143279174
X,101.6,1.1724519940915805
J,75.1,0.8666451255539144
Q,67.9,0.783557976366322
Z,28.0,0.32311669128508125
6,1.0,0.011539881831610043
0,1.0,0.011539881831610043
5,1.0,0.011539881831610043
1,1.0,0.011539881831610043
