char,count,percentage
E,2748.5,6.987575665898039
S,2287.4,5.815310379543449
O,2197.7,5.587263977058074
I,2189.5,5.566416925771786
A,2185.8,5.55701032945968
N,2153.9,5.475910215309362
U,2131.5,5.4189621727712085
T,2129.4,5.413623293783257
R,2125.4,5.403454000472872
L,2050.4,5.21277975090316
M,1695.3,4.310000737273765
D,1667.8,4.24008684576487
C,1637.2,4.162291751940429
Ã,1629.1,4.141698932986899
P,1514.8,3.851111376642659
V,1386.2,3.5241685967137926
Q,1107.5,2.815623085312744
J,1061.6,2.6989304445760802
G,1044.8,2.6562194126724648
H,1041.5,2.6478297456913977
F,967.7,2.460206284114801
B,884.7,2.2491934479243203
Z,568.4,1.4450565794056558
X,422.0,1.0728604442455782
Y,313.0,0.7957472015375971
§,55.0,0.13982778301778864
1,25.0,0.06355808318990393
K,20.0,0.050846466551923146
2,19.0,0.04830414322432698
W,18.0,0.045761819896730824
Â,14.0,0.0355925265863462
3,7.0,0.0177962632931731
5,6.0,0.015253939965576942
4,6.0,0.015253939965576942
8,4.0,0.010169293310384629
6,4.0,0.010169293310384629
0,4.0,0.010169293310384629
7,4.0,0.010169293310384629
9,4.0,0.010169293310384629
Š,3.0,0.007626969982788471
