char,count,percentage
E,300.9,5.371008335862057
S,269.2,4.805169305463827
O,264.2,4.715920247041393
A,263.2,4.6980704353569065
N,262.9,4.692715491851561
I,261.8,4.673080698998625
U,259.3,4.628456169787409
R,258.3,4.610606358102922
T,258.2,4.608821376934474
L,252.3,4.503507487996002
M,229.8,4.10188672509505
C,227.7,4.064402120557628
D,227.7,4.064402120557628
Ã,225.5,4.025132534851758
P,216.1,3.857344305017582
V,209.1,3.732395623226175
Q,186.1,3.3218499544829805
H,183.2,3.270085500597969
J,179.8,3.2093961408707137
G,178.1,3.179051461007086
F,174.1,3.1076522142691396
B,167.6,2.991628438319976
Z,137.8,2.459704050122271
X,120.8,2.156257251485997
Y,107.9,1.9259946807561181
§,42.7,0.7621869589275833
1,25.0,0.4462452921121682
K,20.0,0.3569962336897346
2,19.0,0.3391464220052478
W,18.0,0.3212966103207611
Â,14.0,0.24989736358281422
3,7.0,0.12494868179140711
5,6.0,0.10709887010692037
4,6.0,0.10709887010692037
8,4.0,0.07139924673794691
6,4.0,0.07139924673794691
0,4.0,0.07139924673794691
7,4.0,0.07139924673794691
9,4.0,0.07139924673794691
Š,3.0,0.05354943505346019
