char,count,percentage
E,47.1,5.0047816385081285
T,45.7,4.856019551588567
O,44.8,4.760386781425991
A,44.1,4.68600573796621
S,43.7,4.64350228456062
I,43.4,4.611624694506428
N,43.4,4.611624694506428
H,42.9,4.558495377749442
R,42.2,4.484114334289661
L,41.2,4.377855700775688
D,40.5,4.303474657315907
U,39.3,4.1759642970991395
M,38.2,4.059079800233769
Y,37.3,3.963447030071193
C,36.8,3.910317713314207
G,36.7,3.8996918499628093
W,36.6,3.8890659866114117
F,36.5,3.878440123260015
P,34.0,3.6127935394750823
V,33.6,3.5702900860694933
B,33.5,3.559664222718096
K,30.8,3.2727659122303687
X,18.8,1.9976623100626927
J,18.4,1.9551588566571034
Q,15.8,1.6788864095207734
Z,11.8,1.2538518754648815
6,1.0,0.10625863351397301
0,1.0,0.10625863351397301
5,1.0,0.10625863351397301
1,1.0,0.10625863351397301
